,ID,Sex,Primary_index,Secondary_index,Age
1,person_1,Male,2.482411874,3.852024925,56.49878398
2,person_2,Male,2.685257798,6.093592546,59.59273594
3,person_3,Male,3.867058549,4.364512846,48.52322839
4,person_4,Male,4.230674347,5.346119847,44.7795376
5,person_5,Female,1.982045861,3.00216673,24.59501114
6,person_6,Female,2.655592521,2.434244133,63.14612735
7,person_7,Male,2.636067357,3.467349536,45.50190974
8,person_8,Male,3.739094663,4.984993544,68.75649933
9,person_9,Male,2.529073614,4.526791709,28.79197743
10,person_10,Female,1.409701577,3.490300994,59.72369728
11,person_11,Female,1.548241685,1.550749812,36.65149522
12,person_12,Female,2.427089925,2.922924422,28.15973134
13,person_13,Female,1.0829178,2.576890503,39.96565366
14,person_14,Male,3.24031908,5.484024486,32.46311499
15,person_15,Male,4.638837341,5.162826787,50.88964836
16,person_16,Female,4.025698354,3.922591986,67.68828019
17,person_17,Male,3.216614038,3.147020293,58.39373717
18,person_18,Male,4.053165629,3.963812869,32.88748302
19,person_19,Female,2.708942027,4.264527578,21.15643312
20,person_20,Female,1.255754045,3.149310887,28.40485891
21,person_21,Female,1.700186067,2.684701175,47.01527856
22,person_22,Female,2.052179043,4.503948425,41.52859428
23,person_23,Male,3.501395316,4.434190904,30.50162122
24,person_24,Male,2.320185394,4.995597736,60.22013653
25,person_25,Female,4.496026872,1.428226416,36.66272592
26,person_26,Male,4.33036375,4.859307878,33.13462267
27,person_27,Male,2.847191239,3.451341281,33.14246583
28,person_28,Female,2.234490514,3.02110554,39.50603974
29,person_29,Male,2.375162543,4.778825015,67.72642755
30,person_30,Male,1.609222746,6.182717096,68.63489224
31,person_31,Female,0.471710354,4.637544206,30.22508801
32,person_32,Female,0.451306107,2.499458381,24.10823012
33,person_33,Male,3.776623071,2.540630659,69.06790418
34,person_34,Female,3.08066025,2.727113979,37.50073623
35,person_35,Female,1.794582633,1.886935308,54.65846679
36,person_36,Male,2.716577413,4.492719353,51.37286595
37,person_37,Female,3.790523949,3.908859699,31.21828995
38,person_38,Male,1.643558915,4.427496664,24.33365024
39,person_39,Male,3.056051915,3.332540746,62.97051788
40,person_40,Female,2.338686097,2.412539611,27.99787416
41,person_41,Male,3.372321234,5.582920503,58.62628521
42,person_42,Female,1.935973641,1.492807267,40.60820584
43,person_43,Female,3.309527596,1.663497033,39.0044364
44,person_44,Female,1.579821928,2.599666263,68.74369447
45,person_45,Female,2.362413195,1.789886855,66.3616077
46,person_46,Male,2.524880732,4.857572855,37.8948591
47,person_47,Male,3.072912738,3.79057261,26.64246795
48,person_48,Male,2.946154654,4.885004992,34.54660667
49,person_49,Female,2.502529005,3.684699167,59.78644626
50,person_50,Male,2.258219498,5.222641281,24.07456694
51,person_51,Male,2.073951861,4.252495014,37.78731559
52,person_52,Female,3.263726049,2.633818502,43.59448381
53,person_53,Female,2.108452751,1.892689948,23.89323129
54,person_54,Female,2.483390662,2.209012707,22.56213216
55,person_55,Male,1.902482637,4.917724108,24.46585981
56,person_56,Female,1.995872529,3.245246796,34.28657237
57,person_57,Male,2.122441895,2.885047448,40.67234507
58,person_58,Male,4.226749036,2.897791956,41.65129641
59,person_59,Male,4.784831332,3.984913237,49.82342786
60,person_60,Male,1.018885333,6.084163126,32.24948296
61,person_61,Female,1.724731284,2.473031035,42.9212912
62,person_62,Male,3.191109154,5.119328688,41.34033447
63,person_63,Female,1.101940452,4.012103798,66.99925758
64,person_64,Male,1.942546183,4.215532278,45.34456637
65,person_65,Male,2.627126197,4.591674584,69.72097963
66,person_66,Female,0.942253005,1.157776434,64.79562305
67,person_67,Female,3.154150456,1.700266497,25.92748437
68,person_68,Male,3.653401769,4.615342211,52.21705774
69,person_69,Female,2.075718874,3.013076765,29.79324196
70,person_70,Female,0.788163407,3.671967984,54.44365094
71,person_71,Female,-0.375353001,1.954454145,57.08443543
72,person_72,Male,2.267847175,4.232416002,29.69431339
73,person_73,Female,2.107458997,4.577833817,34.17742447
74,person_74,Male,4.275016705,4.549918926,32.85546781
75,person_75,Male,5.122671338,4.267738355,48.9028486
