"","stratum","n","PRS","log_OR","log_PR_SE","log_OR_p"
"1","All",12309,"PRSsum_std",1.01870640201055,0.0697544031814751,8.27706165854936e-42
"2","All",12309,"PRSstd_sum_std",1.14006892356441,0.0658836637385298,3.66512077512604e-55
"3","All",10231,"PRS_gap_std",0.639253248010129,0.0509884205906838,2.4723865254655e-32
"4","All",10231,"PRSstd_gap_std",1.01706045009776,0.0632551638033578,5.81873718850175e-49
"5","All",12309,"PRSstd_mgb_std",0.982071994005087,0.0539993925539001,1.04324696124385e-59
"6","Healthy_sleep",3215,"PRSsum_std",1.16052617229512,0.169008729586542,1.76903535932255e-11
"7","Healthy_sleep",3215,"PRSstd_sum_std",1.29023148889621,0.17377149398322,4.28463390078667e-13
"8","Healthy_sleep",2637,"PRS_gap_std",0.648901072908277,0.125349885077539,3.1772819587399e-07
"9","Healthy_sleep",2637,"PRSstd_gap_std",1.09165972191264,0.17656143557281,1.23211513752936e-09
"10","Healthy_sleep",3215,"PRSstd_mgb_std",1.10588265610518,0.149115648429659,4.54529546040044e-13
"11","Insomnia",3833,"PRSsum_std",1.20222381131421,0.126382584007975,4.78362390995062e-20
"12","Insomnia",3833,"PRSstd_sum_std",1.31075582841088,0.112538748012653,2.42835343737329e-28
"13","Insomnia",3225,"PRS_gap_std",0.723844082154478,0.0995965679560323,1.19791049913238e-12
"14","Insomnia",3225,"PRSstd_gap_std",1.13972060856955,0.111473970549728,1.17079223262273e-22
"15","Insomnia",3833,"PRSstd_mgb_std",1.04841533477453,0.0826489325123566,9.5566353781741e-33
"16","Short_sleep",1152,"PRSsum_std",0.936157067260555,0.19235464128491,1.60237941253976e-06
"17","Short_sleep",1152,"PRSstd_sum_std",0.978633845859355,0.174094256755535,3.44155126881821e-08
"18","Short_sleep",979,"PRS_gap_std",0.599025273108723,0.138775577610615,2.00413414077654e-05
"19","Short_sleep",979,"PRSstd_gap_std",0.818581000245773,0.169703858161125,2.0132400936984e-06
"20","Short_sleep",1152,"PRSstd_mgb_std",0.754937666890547,0.159293929991844,2.93232394662127e-06
"21","Long_sleep",2113,"PRSsum_std",0.892629716296216,0.157295030236526,2.35113621969734e-08
"22","Long_sleep",2113,"PRSstd_sum_std",1.00460924233266,0.155231500596085,2.31131766138299e-10
"23","Long_sleep",1693,"PRS_gap_std",0.680750064386501,0.123778758022328,6.21789498132761e-08
"24","Long_sleep",1693,"PRSstd_gap_std",1.0467393588778,0.157385329409061,8.01976349042997e-11
"25","Long_sleep",2113,"PRSstd_mgb_std",0.87433650816698,0.136366013287805,3.32983989455192e-10
"26","EDS",1906,"PRSsum_std",0.90391511746925,0.164675106592746,6.4057976269411e-08
"27","EDS",1906,"PRSstd_sum_std",1.07038217388085,0.170118664236271,6.80315056389426e-10
"28","EDS",1553,"PRS_gap_std",0.570621010032931,0.110089295559844,3.2232902569535e-07
"29","EDS",1553,"PRSstd_gap_std",1.03859320431905,0.150353286322233,1.57803023559409e-11
"30","EDS",1906,"PRSstd_mgb_std",1.03020406265179,0.147817771433625,9.98682595756221e-12
"31","Mild_OSA",2116,"PRSsum_std",1.12166102636801,0.128841850846924,4.04651504200968e-17
"32","Mild_OSA",2116,"PRSstd_sum_std",1.29043433522546,0.123184813524401,1.85554838331165e-23
"33","Mild_OSA",1830,"PRS_gap_std",0.751605517908766,0.111041728411363,3.53565731613424e-11
"34","Mild_OSA",1830,"PRSstd_gap_std",1.21369841746116,0.123863022830115,6.59503103078375e-21
"35","Mild_OSA",2116,"PRSstd_mgb_std",1.14560363063414,0.103774405086267,1.23024313170225e-25
"36","Mod_severe_OSA",1269,"PRSsum_std",0.865466641360045,0.193456366460108,9.8263952832399e-06
"37","Mod_severe_OSA",1269,"PRSstd_sum_std",0.95238529869985,0.170181798928407,3.88150018245395e-08
"38","Mod_severe_OSA",1097,"PRS_gap_std",0.503134605051951,0.134811496775674,0.000216254384616793
"39","Mod_severe_OSA",1097,"PRSstd_gap_std",0.694078466323263,0.15597226896194,1.10393374760907e-05
"40","Mod_severe_OSA",1269,"PRSstd_mgb_std",0.770218650420405,0.127802906723922,3.57311031784946e-09
"41","Mild_severe_OSA",3344,"PRSsum_std",0.98795854469459,0.117333923496958,3.08007898303965e-16
"42","Mild_severe_OSA",3344,"PRSstd_sum_std",1.11658744651084,0.104644570457332,2.37637665837006e-24
"43","Mild_severe_OSA",2888,"PRS_gap_std",0.63121715806318,0.0883378756834534,2.82260320603162e-12
"44","Mild_severe_OSA",2888,"PRSstd_gap_std",0.960053317727664,0.106416002201844,2.98471926116938e-18
"45","Mild_severe_OSA",3344,"PRSstd_mgb_std",0.954446620202414,0.0873591319264236,2.36808749621385e-25
