dataset,pearson_r,B3_SUPER_PATHWAY
HILIC POS,0.909251203688891,Cofactors and Vitamins
HILIC POS,0.797810322298736,Amino Acid
HILIC POS,0.957647939292914,Amino Acid
HILIC POS,0.912124163250447,Amino Acid
HILIC POS,0.568652761285413,Amino Acid
HILIC POS,0.690016929605557,Cofactors and Vitamins
HILIC POS,0.103960145077759,Lipid
HILIC POS,0.591075020079472,Lipid
HILIC POS,0.881811736737314,Amino Acid
HILIC POS,0.329162966958738,Amino Acid
HILIC POS,0.903125214142828,Amino Acid
HILIC POS,0.979624421794829,Lipid
HILIC POS,0.880176264363731,Amino Acid
HILIC POS,0.508239650850359,Amino Acid
HILIC POS,0.838912387900548,Lipid
HILIC POS,0.546861453327491,Amino Acid
HILIC POS,0.0817442632727857,Nucleotide
HILIC POS,0.689006511383126,Lipid
HILIC POS,0.813276961595452,Amino Acid
HILIC POS,0.863999078585234,Amino Acid
HILIC POS,0.824597678713482,Amino Acid
HILIC POS,0.740635172502835,Amino Acid
HILIC POS,0.77768707813255,Amino Acid
HILIC POS,0.653432194369183,Cofactors and Vitamins
HILIC POS,0.728063624432571,Amino Acid
HILIC POS,0.645028965240326,Amino Acid
HILIC POS,0.920685236289426,Amino Acid
HILIC POS,0.179850171419802,Cofactors and Vitamins
HILIC POS,0.786686401528922,Amino Acid
HILIC POS,0.163496163691324,Amino Acid
HILIC POS,0,Nucleotide
HILIC POS,0.800663594369804,Amino Acid
HILIC POS,0.740138960810537,Amino Acid
HILIC POS,0.890354214677261,Amino Acid
HILIC POS,0.799479423053594,Amino Acid
HILIC POS,0.776456652364911,Amino Acid
HILIC POS,0.342406815836348,Carbohydrate
HILIC POS,0.899895704387848,Amino Acid
HILIC POS,0.94631196515555,Amino Acid
HILIC POS,0.65280970901063,Amino Acid
HILIC POS,0.821382277996801,Amino Acid
HILIC POS,0.856549521201038,Nucleotide
HILIC POS,0.937851117924072,Xenobiotics
HILIC POS,0.767957203076181,Amino Acid
HILIC POS,0.960723190940419,Amino Acid
HILIC POS,0.510583416081819,Nucleotide
HILIC POS,0.525687772215764,Nucleotide
HILIC POS,0.938153216273957,Cofactors and Vitamins
HILIC POS,0.0359969772826259,Amino Acid
HILIC POS,0.206609616918499,Amino Acid
HILIC POS,0.824571366331501,Cofactors and Vitamins
HILIC POS,0.737004287150827,Amino Acid
HILIC POS,0.75782188488643,Amino Acid
HILIC POS,0.790552834235743,Amino Acid
HILIC POS,0.866111499785201,Nucleotide
HILIC POS,0.163483610128732,Lipid
HILIC POS,0.845548082775579,Amino Acid
HILIC POS,0.53974453218037,Nucleotide
HILIC POS,0.800402622767309,Lipid
HILIC POS,0.105250214741768,Lipid
HILIC POS,0.573917607184844,Lipid
HILIC POS,0.790476677021678,Lipid
HILIC POS,0.958361351728439,Xenobiotics
HILIC POS,0.478431693037885,Amino Acid
HILIC POS,0.90517461218643,Amino Acid
HILIC POS,0.158491053958169,Lipid
HILIC POS,0.517330974546622,Amino Acid
HILIC POS,0.727914422183669,Lipid
HILIC POS,0.329661941248648,Amino Acid
HILIC POS,0.832379086737652,Lipid
HILIC POS,0.883405746986455,Amino Acid
HILIC POS,0.95319741097393,Amino Acid
HILIC POS,0.80412848598421,Lipid
HILIC POS,0.959755054154965,Cofactors and Vitamins
HILIC POS,0.908686435166799,Xenobiotics
HILIC POS,0.96066848253178,Cofactors and Vitamins
HILIC POS,0.913598214363791,Lipid
HILIC POS,0.498778027585843,Amino Acid
HILIC POS,0.583001127773411,Lipid
HILIC POS,0.659634173419052,Lipid
HILIC POS,0.87739660069919,Amino Acid
HILIC POS,0.901273901772777,Amino Acid
HILIC POS,0.965292461661524,Xenobiotics
HILIC POS,0.825021299426539,Lipid
HILIC POS,0.719861473258868,Lipid
HILIC POS,0.958202617676756,Xenobiotics
HILIC POS,0.721293649529335,Lipid
HILIC POS,0.843180861535571,Lipid
HILIC POS,0.58311473055953,Amino Acid
HILIC POS,0.620706301319993,Xenobiotics
HILIC POS,0.900492303866494,Xenobiotics
HILIC POS,0.778043199673457,Nucleotide
HILIC POS,0.964595205226603,Peptide
HILIC POS,0.639481517940595,Nucleotide
HILIC POS,0.583870991029788,Nucleotide
HILIC POS,0.792592548899395,Lipid
HILIC POS,0.792592548899395,Lipid
HILIC POS,0.943043284036098,Cofactors and Vitamins
HILIC POS,0.788947331112772,Lipid
HILIC POS,0.78966318425298,Lipid
HILIC POS,0.833914876849352,Lipid
HILIC POS,0.882107849348718,Amino Acid
HILIC POS,0.900927280196155,Amino Acid
HILIC POS,0.902582463233914,Xenobiotics
HILIC POS,0.880200960761973,Lipid
HILIC POS,0.515292245102032,Amino Acid
HILIC POS,0.954157540619742,Amino Acid
HILIC POS,0.971310707483913,Amino Acid
HILIC POS,0.542628716336796,Lipid
HILIC POS,0.9395755959356,Xenobiotics
HILIC POS,0.756886321174913,Lipid
HILIC POS,0.895251277061634,Amino Acid
HILIC POS,0.972611387814683,Lipid
HILIC POS,0.949676233440015,Amino Acid
HILIC POS,0.917604975198648,Amino Acid
HILIC POS,0.870197591586171,Lipid
HILIC POS,0.785807007964126,Lipid
HILIC POS,0.847443600616628,Amino Acid
HILIC POS,0.702866101823286,Lipid
HILIC POS,0.0652746789966791,Lipid
HILIC POS,0.742091881865745,Cofactors and Vitamins
HILIC POS,0.736071805238827,Lipid
HILIC POS,0.79093338559392,Lipid
HILIC POS,0.830583278951357,Amino Acid
HILIC POS,0.857299814660343,Amino Acid
HILIC POS,0.885669210469869,Amino Acid
HILIC POS,0.0437664047203752,Lipid
HILIC POS,0,Lipid
HILIC POS,0,Lipid
HILIC POS,0.824353305073115,Lipid
HILIC POS,0.0424921249864005,Cofactors and Vitamins
HILIC POS,0.846127146908414,Lipid
HILIC POS,0.89009104606682,Lipid
HILIC POS,0.834908680976333,Lipid
HILIC POS,0.0306586685268792,Peptide
HILIC POS,0.00204392720017733,Peptide
HILIC POS,0.742451827263719,Peptide
HILIC POS,0.284379173690184,Lipid
HILIC POS,0.270403504391466,Lipid
HILIC POS,0.956080966169474,Lipid
