"rsid"	"pval_method1"
"rs1"	0.27809295
"rs2"	0.21996895
"rs3"	0.8283877
"rs4"	0.60998782
"rs5"	0.00575993
"rs6"	0.77482685
"rs7"	0.94081692
"rs8"	0.44917119
"rs9"	0.97867382
"rs10"	0.93813046
"rs11"	0.8604498
"rs12"	0.7383692
"rs13"	0.85277338
"rs14"	0.93647334
"rs15"	0.44788878
"rs16"	0.36198769
"rs17"	0.18451893
"rs18"	0.83031391
"rs19"	0.84626747
"rs20"	0.02432693
"rs21"	0.31059004
"rs22"	0.92166511
"rs23"	0.83790607
"rs24"	0.95431479
"rs25"	0.70675193
"rs26"	0.62661155
"rs27"	0.05655698
"rs28"	0.95887403
"rs29"	0.45354326
"rs30"	0.13304934
"rs31"	0.82205027
"rs32"	0.06781283
"rs33"	0.40118495
"rs34"	0.49259616
"rs35"	0.91503604
"rs36"	0.01187474
"rs37"	0.37133264
"rs38"	0.18240169
"rs39"	0.14427454
"rs40"	0.92362437
"rs41"	0.89998334
"rs42"	0.15917603
"rs43"	0.81118702
"rs44"	0.36930439
"rs45"	0.16409336
"rs46"	0.43412456
"rs47"	0.41312556
"rs48"	0.86218599
"rs49"	0.76980346
"rs50"	0.47775982
"rs51"	0.53544476
"rs52"	0.77524117
"rs53"	0.02912221
"rs54"	0.08032939
"rs55"	0.56092296
"rs56"	0.24263749
"rs57"	0.82404087
"rs58"	0.97309575
"rs59"	0.76444328
"rs60"	0.65888387
"rs61"	0.84447077
"rs62"	0.0919129
"rs63"	0.09475448
"rs64"	0.40686769
"rs65"	0.74189367
"rs66"	0.36269601
"rs67"	0.67720869
"rs68"	0.11499142
"rs69"	0.28038656
"rs70"	0.66532674
"rs71"	0.43559334
"rs72"	0.63046985
"rs73"	0.41623436
"rs74"	0.06373786
"rs75"	0.42250559
"rs76"	0.60263031
"rs77"	0.81579328
"rs78"	0.45769437
"rs79"	0.9093999
"rs80"	0.15303575
"rs81"	0.91989006
"rs82"	0.0887598
"rs83"	0.38791468
"rs84"	0.98076431
"rs85"	0.18787406
"rs86"	0.75634701
"rs87"	0.29698574
"rs88"	0.96772532
"rs89"	0.42832989
"rs90"	0.30930882
"rs91"	0.20277187
"rs92"	0.2094145
"rs93"	0.72781462
"rs94"	0.87683966
"rs95"	0.50628909
"rs96"	0.36520617
"rs97"	0.64390851
"rs98"	0.14313542
"rs99"	0.46528709
"rs100"	0.0620524
"rs101"	0.5680757
"rs102"	0.85096701
"rs103"	0.8219604
"rs104"	0.70323615
"rs105"	0.87870913
"rs106"	0.56746807
"rs107"	0.90503587
"rs108"	0.93874674
"rs109"	0.08392882
"rs110"	0.59189954
"rs111"	0.67513522
"rs112"	0.84349548
"rs113"	0.460138
"rs114"	0.32348783
"rs115"	0.66548859
"rs116"	0.55750165
"rs117"	0.69217932
"rs118"	0.99627607
"rs119"	0.21746296
"rs120"	0.81302849
"rs121"	0.58929623
"rs122"	0.38999846
"rs123"	0.30954958
"rs124"	0.49703874
"rs125"	0.13002667
"rs126"	0.43354803
"rs127"	0.42210093
"rs128"	0.41056518
"rs129"	0.40363847
"rs130"	0.08008909
"rs131"	0.07232365
"rs132"	0.91681735
"rs133"	0.55440109
"rs134"	0.05855756
"rs135"	0.85579745
"rs136"	0.97069691
"rs137"	0.85866813
"rs138"	0.13791094
"rs139"	0.75659478
"rs140"	0.40169559
"rs141"	0.78969776
"rs142"	0.01490346
"rs143"	0.20369232
"rs144"	0.30203227
"rs145"	0.9621921
"rs146"	0.15223058
"rs147"	0.53347198
"rs148"	0.55047306
"rs149"	0.31583759
"rs150"	0.80051713
"rs151"	0.93166785
"rs152"	0.14050921
"rs153"	0.63513199
"rs154"	0.42838439
"rs155"	0.19022931
"rs156"	0.88652087
"rs157"	0.71163695
"rs158"	0.07531967
"rs159"	0.72999129
"rs160"	0.02002592
"rs161"	0.12786389
"rs162"	0.91517811
"rs163"	0.13137793
"rs164"	0.00698423
"rs165"	0.00445685
"rs166"	0.0274207
"rs167"	0.85652348
"rs168"	0.04972784
"rs169"	0.9701184
"rs170"	0.93570107
"rs171"	0.77418708
"rs172"	0.61834353
"rs173"	0.12149593
"rs174"	0.97302298
"rs175"	0.20420067
"rs176"	0.03104414
"rs177"	0.77995204
"rs178"	0.96929011
"rs179"	0.33148664
"rs180"	0.59283786
"rs181"	0.25367424
"rs182"	0.41075454
"rs183"	0.09946455
"rs184"	0.78791642
"rs185"	0.53419974
"rs186"	0.77786686
"rs187"	0.65217987
"rs188"	0.78800254
"rs189"	0.98393394
"rs190"	0.19995075
"rs191"	0.05488382
"rs192"	0.284732
"rs193"	0.55762015
"rs194"	0.6841382
"rs195"	0.02862763
"rs196"	0.03796935
"rs197"	0.7675485
"rs198"	0.20933832
"rs199"	0.62532828
"rs200"	0.0727373
"rs201"	0.53019605
"rs202"	0.32697979
"rs203"	0.48548164
"rs204"	0.57695524
"rs205"	0.50235217
"rs206"	0.80950027
"rs207"	0.53861374
"rs208"	0.81962619
"rs209"	0.19477051
"rs210"	0.18130933
"rs211"	0.55534238
"rs212"	0.95322251
"rs213"	0.20445485
"rs214"	0.72540684
"rs215"	0.70754856
"rs216"	0.76991417
"rs217"	0.3175751
"rs218"	0.9549912
"rs219"	0.29258903
"rs220"	0.48357302
"rs221"	0.7100128
"rs222"	0.91386007
"rs223"	0.26786105
"rs224"	0.58659112
"rs225"	0.14803528
"rs226"	0.99846093
"rs227"	0.97302439
"rs228"	0.47097555
"rs229"	0.66397335
"rs230"	0.13778161
"rs231"	0.89823617
"rs232"	0.39095093
"rs233"	0.77774681
"rs234"	0.30193164
"rs235"	0.08974577
"rs236"	0.56143978
"rs237"	0.67846852
"rs238"	0.11673249
"rs239"	0.87957477
"rs240"	0.00150409
"rs241"	0.77950302
"rs242"	0.86519958
